"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"오산시",10,11,12,13,15,17,17,20,21,21,21,21,22,22
"시흥시",31,32,32,34,34,34,36,36,36,36,36,37,37,38
"군포시",21,22,22,22,22,22,23,25,25,25,26,26,26,26
"의왕시",10,10,10,10,10,10,11,11,11,12,13,13,13,13
"하남시",10,10,10,11,11,12,12,13,13,13,13,13,16,17
"용인시",59,67,79,84,87,87,90,92,95,97,99,100,100,100
"파주시",41,41,45,49,50,50,50,54,56,56,57,57,57,57
"이천시",29,29,29,29,30,30,30,31,31,31,31,31,31,31
"안성시",34,34,34,34,34,34,34,34,34,34,34,34,34,34
"김포시",24,24,25,27,27,29,29,31,32,37,39,40,41,41
"화성시",39,41,47,49,52,63,67,68,68,68,69,69,76,80
"광주시",22,24,24,24,24,24,24,24,24,25,25,25,25,25
"양주시",23,23,24,27,27,29,29,30,31,31,31,31,32,32
"포천시",30,30,31,32,32,32,32,32,32,32,32,32,31,31
"여주시",-,-,-,-,-,-,-,-,-,-,-,23,23,23
"경기 여주군",22,22,22,23,23,23,23,23,23,23,23,-,-,-
"연천군",13,13,13,13,13,13,13,13,13,13,13,13,13,13
"가평군",13,13,13,13,13,13,13,13,13,13,13,13,13,13
"양평군",23,22,22,22,21,21,21,21,21,21,21,22,22,22
"강원도",366,366,366,365,363,361,353,353,353,352,351,351,351,351
"춘천시",40,40,40,41,41,41,39,39,39,39,39,39,40,40
"원주시",43,43,45,44,45,46,46,46,47,47,47,48,48,49
"강릉시",35,35,35,35,35,35,35,35,35,35,35,35,35,35
"동해시",14,14,14,14,14,14,14,14,14,14,14,14,14,14
"태백시",13,13,13,13,13,13,13,13,13,13,13,13,12,12
"속초시",11,11,11,11,12,12,12,12,12,12,12,12,12,12
"삼척시",20,20,20,20,20,20,20,20,19,19,19,19,19,19
"홍천군",28,28,28,28,28,27,26,26,26,26,26,25,25,25
"횡성군",20,20,19,19,19,19,16,16,16,16,16,16,16,16
"영월군",17,17,17,17,13,13,13,13,13,13,13,13,13,13
"평창군",21,21,21,21,21,21,20,20,20,20,20,20,20,19
"정선군",17,17,17,17,17,17,17,17,17,17,16,16,16,16
"철원군",19,19,19,18,18,17,17,17,17,16,16,16,16,16
"화천군",13,13,13,13,13,13,13,13,13,13,13,13,13,13
"양구군",11,11,10,10,10,10,10,10,10,10,10,10,10,10
