"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"남구",0.92,0.93,1.19,1.92,2.18,4.28,5.72,7.55,8.85,9.89,10.94,15.18,16.30
"연수구",3.88,3.91,4.14,4.43,2.98,5.21,6.26,6.45,7.64,6.49,6.66,9.01,10.66
"남동구",0.25,0.26,0.26,0.77,1.41,2.89,5.18,7.82,9.49,10.52,10.26,12.63,14.11
"부평구",1.80,1.79,1.94,2.28,3.69,5.45,7.27,10.04,10.52,11.63,14.72,15.26,16.37
"계양구",0.29,0.30,0.30,0.29,0.58,1.46,4.07,7.19,8.13,9.06,10.18,12.08,15.25
"서구",1.73,1.66,1.58,1.56,4.26,5.59,7.08,9.80,9.86,9.58,9.80,12.03,13.67
"강화군",6.15,4.61,9.18,13.74,16.55,32.65,43.25,59.61,58.40,61.42,59.94,65.56,69.46
"옹진군",14.02,13.50,12.81,12.13,11.78,11.51,32.93,48.03,46.19,44.91,33.82,38.64,38.16
"광주광역시",3.01,3.14,3.64,4.05,5.16,6.47,7.67,9.35,9.70,9.73,10.39,10.84,10.94
"동구",12.02,11.89,12.23,13.15,13.91,18.19,16.70,21.06,22.54,22.73,24.27,26.79,27.33
"서구",2.87,3.16,4.17,4.85,5.54,6.56,7.34,8.57,7.86,7.90,7.30,7.73,7.87
"남구",5.55,6.09,6.53,7.08,9.09,10.33,12.17,13.83,14.15,13.74,14.33,13.65,13.10
"북구",0.43,0.44,0.66,0.65,2.15,2.53,3.83,5.78,6.30,6.76,8.53,9.60,10.08
"광산구",1.74,1.69,2.28,2.89,3.48,5.61,7.58,8.53,9.05,8.83,9.16,9.06,8.98
"대전광역시",2.79,3.05,3.16,3.34,4.61,6.14,7.41,9.24,9.57,10.10,9.92,10.71,11.06
"동구",3.75,3.77,4.26,4.65,6.54,8.54,6.91,9.24,9.55,9.92,10.77,12.22,12.10
"중구",1.12,1.13,1.50,1.52,3.77,7.18,7.95,9.78,10.55,10.60,10.19,11.87,12.88
"서구",2.60,3.54,3.53,3.96,4.98,6.21,5.01,6.80,9.42,10.27,9.22,9.88,10.19
"유성구",4.64,3.93,3.62,3.29,3.59,3.46,2.25,4.61,4.08,4.57,3.82,4.89,5.07
"대덕구",2.62,2.64,2.69,2.76,3.75,5.21,4.80,6.75,9.74,10.70,12.72,11.91,12.70
"울산광역시",1.03,1.48,1.84,2.65,3.64,3.42,4.04,5.42,5.20,5.06,6.92,6.26,6.82
"중구",0.86,0.85,1.70,2.13,3.38,2.99,3.48,4.72,4.73,4.72,5.97,5.02,4.91
"남구",0.58,0.58,0.58,0.87,0.58,0.29,1.45,2.32,2.04,2.02,5.16,3.45,3.78
"동구",-,-,1.08,1.08,1.65,1.70,1.73,2.34,2.32,2.28,2.80,2.83,2.86
"북구",1.52,2.16,2.05,2.69,4.50,4.20,4.08,5.07,5.48,4.89,7.00,5.83,7.33
"울주군",2.88,5.16,5.16,8.47,10.91,10.43,11.26,14.43,13.19,12.99,14.38,15.39,16.41
"경기도",1.56,1.98,2.92,4.07,5.08,6.46,9.19,11.81,11.72,12.87,13.37,14.22,14.65
"수원시",1.36,1.55,1.91,2.15,3.18,4.22,4.66,6.68,6.43,6.52,6.10,6.90,7.26
"성남시",0.83,0.82,1.02,1.35,1.57,2.23,3.74,6.43,5.82,5.62,5.82,6.16,6.49
"의정부시",1.52,1.51,1.74,2.43,2.84,3.48,9.98,14.59,8.13,16.54,17.17,18.56,19.82
"안양시",1.16,1.29,2.08,2.56,2.72,2.90,2.11,3.22,3.74,3.76,5.26,5.33,6.86
"부천시",0.59,0.93,1.52,1.63,2.20,4.03,7.82,9.48,11.35,11.95,12.50,13.79,14.84
"광명시",0.89,0.60,0.61,0.96,1.60,1.93,1.59,2.91,3.10,3.66,4.53,4.59,4.64
"평택시",2.47,2.97,2.86,4.03,4.97,4.92,5.85,6.68,6.79,6.68,6.33,8.45,8.25
"동두천시",6.69,10.10,13.31,13.99,15.77,18.72,26.82,34.50,31.17,36.02,34.85,32.79,32.66
"안산시",0.31,0.30,1.47,2.00,3.55,5.65,9.22,10.91,13.56,14.40,16.39,16.81,16.91
"고양시",1.16,1.47,1.99,3.08,3.89,5.43,6.60,12.00,10.72,13.51,15.04,15.01,15.67
"과천시",4.27,4.39,4.92,4.96,4.82,4.32,4.16,4.15,4.17,4.22,4.25,4.28,4.35
"구리시",-,-,-,0.52,-,3.06,3.58,6.62,6.16,7.28,7.38,8.56,8.57
"남양주시",0.74,0.72,2.00,3.40,4.06,5.14,6.28,10.99,10.20,12.68,15.36,17.29,17.90
"오산시",2.54,3.30,3.08,4.40,4.80,5.32,5.63,6.57,5.16,5.99,4.87,5.27,5.80
"시흥시",1.09,1.06,1.55,3.84,3.84,6.11,8.04,12.38,13.21,14.27,17.14,18.24,18.33
"군포시",0.73,1.09,1.08,2.91,3.27,4.32,5.80,9.38,9.40,11.85,11.52,12.48,13.91
"의왕시",0.70,1.37,2.06,2.89,5.93,6.69,7.10,8.82,8.02,9.69,9.39,9.46,10.14
"하남시",2.34,2.31,2.26,2.23,2.92,4.18,10.77,13.29,13.48,13.67,15.16,16.12,15.60
"용인시",1.74,2.34,3.46,4.30,4.75,5.75,7.75,9.47,9.60,9.17,8.92,9.57,9.33
"파주시",2.10,2.44,4.20,7.17,8.23,12.21,13.00,17.43,16.10,17.00,14.44,17.99,19.37
"이천시",3.67,4.19,5.72,7.20,9.71,12.21,9.62,9.87,9.29,9.76,10.71,13.66,11.71
"안성시",3.96,5.19,8.91,15.66,20.77,21.82,22.82,25.29,26.00,26.43,24.15,25.29,27.75
"김포시",1.47,1.44,3.38,4.81,4.37,6.81,10.19,10.91,12.45,11.83,13.13,10.58,11.43
"화성시",2.12,2.21,4.38,8.70,9.95,10.01,11.39,13.05,14.90,15.60,13.96,14.61,12.57
"광주시",4.70,6.81,7.46,7.66,8.29,8.94,7.54,8.01,6.79,8.71,10.12,11.04,10.88
"양주시",2.70,5.24,5.60,6.48,9.45,10.56,12.08,14.23,15.47,15.98,16.07,19.79,22.42
"포천시",4.66,6.65,11.59,13.35,17.70,21.23,23.28,28.99,30.39,35.54,39.59,43.65,43.82
"여주시",-,-,-,-,-,-,-,-,-,-,29.27,30.80,32.42
"경기 여주군",4.81,8.66,14.39,20.95,22.45,24.22,24.05,24.71,24.74,26.47,-,-,-
"연천군",-,6.16,14.85,19.53,21.93,26.38,26.52,30.99,33.41,35.09,39.47,37.48,30.62
"가평군",9.08,10.94,18.23,25.52,35.91,40.27,27.80,32.26,30.32,31.25,31.14,29.41,32.25
"양평군",5.97,8.27,12.86,17.38,23.90,28.95,29.52,33.39,29.17,32.29,33.78,34.16,31.39
"강원도",3.08,3.48,6.21,7.90,9.58,11.80,15.20,17.45,19.20,20.28,23.86,25.58,26.52
"춘천시",3.95,4.72,6.67,7.02,8.52,11.07,15.10,18.15,19.79,20.49,26.96,29.37,30.94
"원주시",4.63,5.27,7.63,8.50,9.37,11.51,14.29,14.94,15.60,17.60,19.70,22.30,21.62
"강릉시",3.93,4.40,5.35,5.86,7.26,8.70,10.58,14.19,17.01,18.37,27.21,31.05,37.29
"동해시",1.97,2.98,4.03,5.13,5.17,6.27,7.35,10.50,10.44,11.71,11.56,11.63,11.72
"태백시",3.71,1.88,3.81,3.88,3.88,5.88,5.95,5.90,5.98,6.06,8.20,8.29,8.42
"속초시",2.25,2.27,5.74,5.81,8.20,10.64,14.32,15.42,19.11,17.95,19.25,20.62,20.73
"삼척시",-,-,2.73,5.57,7.06,7.05,8.34,8.33,8.30,8.28,8.22,8.30,9.88
"홍천군",4.20,4.17,11.30,19.99,22.81,27.00,40.23,45.78,50.07,50.20,50.96,49.68,51.18
"횡성군",-,-,4.58,16.29,20.84,23.03,43.06,40.67,47.34,51.55,51.18,50.69,48.06
"영월군",2.27,2.36,4.81,4.94,9.93,14.93,17.38,27.22,24.88,19.92,24.91,27.37,27.35
"평창군",-,-,4.44,4.51,6.82,16.02,16.04,16.05,20.65,27.51,32.06,29.78,27.59
"정선군",-,-,11.31,13.89,19.14,19.39,22.11,24.36,22.40,20.04,25.01,25.36,28.06
"철원군",-,-,2.04,4.16,6.33,8.38,8.39,14.31,14.56,20.85,14.75,14.71,14.34
"화천군",8.15,4.12,8.43,12.87,13.08,16.59,20.65,16.42,20.04,19.98,31.90,40.53,37.01
"양구군",-,-,4.66,9.40,9.35,14.08,14.07,22.89,22.44,17.54,29.67,29.30,24.91
"인제군",6.23,9.25,12.19,12.31,12.47,9.49,9.54,9.42,12.51,15.41,12.30,15.40,15.04
"고성군",-,3.09,3.13,6.39,6.58,9.94,13.21,13.28,23.29,23.24,23.03,19.82,19.96
"양양군",3.39,3.43,6.87,10.47,17.56,17.78,21.46,25.06,25.05,25.18,28.92,29.07,29.11
"충청북도",3.29,3.29,4.10,8.03,9.76,14.35,17.15,20.20,21.50,22.48,22.70,23.05,23.55
"충북 청주시",2.60,2.40,2.69,3.03,3.95,7.99,8.71,10.98,11.03,11.55,12.33,-,-
"충주시",1.91,2.41,3.40,8.80,9.27,14.05,17.91,20.63,21.59,22.07,23.06,22.06,23.09
"제천시",3.55,4.32,5.79,12.46,13.95,16.21,17.70,21.13,23.24,25.45,24.78,22.66,24.97
"청주시",-,-,-,-,-,-,-,-,-,-,-,14.67,14.79
"충북 청원군",6.60,5.85,8.35,14.65,15.38,20.94,18.03,19.62,21.47,21.97,22.58,-,-
