"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"남구",42937,41824,47638,42569,41894,44857,41431,39206,40548,32508,31007,39111,36008,31059
"북구",99898,92398,90499,106063,95577,90503,83635,76416,76339,65811,68799,76391,67350,58693
"광산구",68116,60777,66145,62177,56879,54530,87662,77025,71316,63833,64345,65151,61771,56526
"대전광역시",304736,280028,287835,294814,283080,263532,252424,262432,264244,239635,230858,239559,220774,219252
"동구",53979,44152,39385,49264,55649,44438,40687,41320,45410,38226,37113,33388,31522,30728
"중구",58019,50339,51790,46999,51788,44962,42838,42498,42547,36979,38936,35230,32735,31226
"서구",105265,102183,103975,97878,89698,87289,87805,88473,85832,74987,76498,79063,72726,75485
"유성구",44494,45979,57733,66493,53304,55360,51571,61767,61579,60575,52129,67026,60944,60815
"대덕구",42979,37375,34952,34180,32641,31483,29523,28374,28876,28868,26182,24852,22847,20998
"울산광역시",191255,184499,169681,174389,180375,181662,159953,161146,164963,161433,159492,176015,170393,148190
"중구",41161,41619,37159,41432,39858,32446,31294,34783,31900,31023,31818,39119,39832,28059
"남구",67424,62473,57771,57740,55272,58117,53220,50504,50969,52458,49952,53577,50526,45018
"동구",26253,26039,26326,27342,29099,27536,21395,20665,27633,28967,30254,26633,24045,27660
"북구",26949,27199,24463,20835,25860,30155,25626,26586,27059,22217,23071,27115,25768,24755
"울주군",29468,27169,23962,27040,30286,33408,28418,28608,27402,26768,24397,29571,30222,22698
"경기도",2304535,2079220,2197321,2459641,2306957,2195585,2175681,2168820,2062422,1944962,1895434,1891775,1993080,1958593
"수원시",223578,189653,219937,242984,209456,196008,213915,184402,202035,200113,195500,196453,189637,172210
"성남시",223442,186185,188879,207156,187430,169835,207510,182500,171589,155354,162734,150240,152980,174390
"의정부시",107255,77985,79881,89665,99267,91184,72399,65756,65206,61489,65548,63021,66820,65844
"안양시",138042,129068,119719,132519,107923,98943,102056,99331,91534,96964,83335,81727,85267,96112
"부천시",192912,153517,153871,178332,169263,169058,154485,136267,140599,124199,119427,117954,123425,125460
"광명시",69863,54061,58824,65487,63415,54795,60864,87001,68937,52314,47076,46176,44735,41712
"평택시",73484,69710,78662,85373,80785,72996,68502,67915,73419,72433,72028,68508,77256,75179
"동두천시",18468,22119,22521,20348,25271,26525,24246,20437,17225,17907,15920,16052,16300,16074
"안산시",160097,134972,142952,167091,150115,134047,125932,121052,119858,105760,101514,98715,103260,93537
"고양시",212641,182322,197638,220409,201738,186480,169428,174090,173745,157485,171535,166111,176821,158904
"과천시",15158,13315,12708,11721,13247,18892,15402,12035,11230,10328,10181,9925,10037,10957
"구리시",42568,36813,38043,44562,41845,37769,36081,32709,31512,27887,26991,25654,28009,34966
"남양주시",77594,75324,99547,103799,102049,94473,95944,117456,90397,100136,95333,96997,95266,81347
"오산시",26208,25615,32253,31582,39811,31222,38553,52285,41302,33373,33296,30527,28913,27623
"시흥시",86863,81344,82539,85480,83365,75974,77275,66949,63480,57034,55348,53651,61075,56984
"군포시",60783,49762,54018,59479,50055,47854,44620,57140,43004,39775,37389,44952,38538,35230
"의왕시",35332,26456,28393,26046,25054,19448,28536,27726,25252,25204,26882,20485,20642,19970
"하남시",29290,25248,26722,32528,28996,35333,33284,24274,24167,21424,19826,26015,45243,77934
"용인시",150839,173908,171704,235617,176933,159931,175932,178743,164017,157560,159125,159271,159061,148258
"파주시",44258,52128,63370,83689,60971,57254,60535,81782,82072,73676,64913,67889,69427,60355
"이천시",34532,31088,33909,34480,34570,32851,33643,35781,31540,30133,28617,28254,28326,33122
"안성시",28810,28286,27964,30595,32484,33296,27626,32683,28500,27119,24496,23402,22766,29465
"김포시",45862,36971,34434,39402,33681,51611,38426,46621,54518,70391,67509,73961,57271,58788
"화성시",49556,75745,73430,72096,126753,147365,127195,101327,93509,82743,76374,81398,144301,120293
"광주시",50225,46912,45732,48655,46690,42395,41537,47093,54174,47598,47866,48207,52978,53804
"양주시",35089,34246,37227,41112,43808,37178,34482,45134,33273,30149,25478,31799,30113,26149
"포천시",31048,26485,32349,28134,27372,28588,23865,25045,22547,21195,19625,20193,19329,18181
"여주시",-,-,-,-,-,-,-,-,-,-,13287,16212,15048,14642
"경기 여주군",13942,13169,13920,14764,15450,14567,15400,15144,13951,13535,-,-,-,-
"연천군",6836,7349,6380,6374,6684,6674,6444,5668,5279,6287,5546,5210,6011,6135
"가평군",6650,6821,6939,7221,8210,8703,7442,7554,7550,8800,7452,7590,7795,7570
"양평군",13310,12643,12856,12941,14266,14336,14122,16920,17001,16597,15283,15226,16430,17398
"강원도",269296,252902,245689,254508,245182,252193,249191,241738,236077,225896,217917,228369,227125,223484
"춘천시",53169,52497,49061,49782,48550,53414,52494,49375,49545,43883,42444,49629,46847,45937
"원주시",62262,58965,58283,65512,58396,63928,58477,58027,59402,56099,50952,55708,57929,57766
"강릉시",41468,35764,35792,37763,35771,32236,32797,32417,30489,31492,28827,29605,28757,30907
"동해시",17088,15334,14956,14316,14409,13593,13941,14789,13867,11774,14956,11789,11283,10520
"태백시",9402,9677,8435,7859,8690,8524,8085,8058,7324,6690,6135,6800,5695,6243
"속초시",17808,15563,15789,17014,15366,14363,15141,14302,12978,13421,12298,11868,13716,14468
"삼척시",9368,8541,9089,8256,8862,9793,11825,10771,10338,10545,10771,10650,8767,8483
"홍천군",7972,9632,8006,8460,8977,8578,8001,7527,7343,7380,8150,7094,6776,7196
"횡성군",4576,5077,4781,4747,5367,5548,6194,5155,5055,5187,5209,5177,5332,5024
"영월군",5484,4024,4308,4090,4847,5013,5198,4459,4173,4302,4100,4502,4781,4385
"평창군",6630,5033,5065,4839,5036,4738,5149,4547,4687,4632,4353,4448,4263,4130
"정선군",5626,5519,5331,5196,4832,4756,4462,4624,4211,4153,4379,4049,4136,3674
"철원군",7541,6438,6103,6197,6016,6494,6383,6872,5357,6038,4910,5595,7393,5072
"화천군",4924,4420,4195,4148,4056,5728,4849,4507,5350,4007,3922,6193,4513,4095
"양구군",3024,3196,3123,3430,3624,3498,3289,3839,3645,3734,4672,3379,3478,3242
"인제군",5010,5397,5185,5007,4739,4342,4397,4582,4711,4982,4224,4403,5264,4022
"고성군",4155,4051,3909,4034,3752,4200,4723,4293,4103,4279,4327,4192,4803,5011
"양양군",3789,3774,4278,3858,3892,3447,3786,3594,3499,3298,3288,3288,3392,3309
"충청북도",246415,231167,235907,245977,253433,244672,232872,235671,228594,212263,215973,215944,214626,202679
"충북 청주시",127302,118558,123461,112859,121973,114860,108350,113743,104809,99066,106882,-,-,-
"충주시",35400,33453,31591,31902,35705,34292,32564,32050,30836,28887,28061,30647,27594,29140
"제천시",21219,20131,21299,19968,21757,20023,21122,22348,21261,19060,17662,17606,18081,18831
"청주시",-,-,-,-,-,-,-,-,-,-,-,122001,117932,107867
"충북 청원군",17965,17933,17760,36656,27321,28050,24418,24201,26993,22639,21042,-,-,-
"보은군",3417,3533,3303,3574,3238,3736,3429,3240,3086,2979,3110,3578,3846,3234
"옥천군",5463,5009,5028,5063,5456,5204,4843,4606,4516,4553,4169,4321,4450,4111
"영동군",4327,4199,4547,4423,4774,5411,5691,5043,5286,5142,5012,5554,5579,5945
"진천군",7447,7635,7414,8139,8471,8131,8239,7687,8308,7388,7855,7314,10464,9288
"괴산군",3857,3969,3709,3912,4060,4256,4548,4107,4616,4652,4995,5125,5403,5156
