"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"북구",31216,31257,31127,31282,31372,31809,32079,32051,31097,31733,32428,32576,32585,33111
"광산구",16346,17151,17614,17797,18431,18515,19376,20257,21800,23286,24264,25608,26958,28026
"대전광역시",91480,90402,90366,89851,91097,92548,93176,95650,100474,104609,105676,109535,111815,113228
"동구",18100,17169,16758,16769,16822,16807,16774,17091,17866,18213,18288,18608,18584,18490
"중구",19758,18785,18401,18171,17680,18197,18288,18350,18931,19387,19651,20223,20330,20307
"서구",25808,26835,27620,26684,27770,27962,28116,29051,30620,32104,31545,32970,33971,34526
"유성구",11394,11385,11701,12212,12901,13759,14409,15327,16728,18205,18938,20308,21165,22002
"대덕구",16420,16228,15886,16015,15924,15823,15589,15831,16329,16700,17254,17426,17765,17903
"울산광역시",64265,64715,65309,65818,67169,67843,68654,70746,73417,74578,76993,78638,80805,82948
"중구",15032,15080,14921,14881,14664,14507,14611,14662,14724,14940,15207,15262,15858,16329
"남구",25410,25464,25594,25841,26507,26669,26563,27148,28006,28447,29143,29498,30018,30547
"동구",8698,8641,8478,8366,8371,8330,8368,8598,9282,8779,9034,8874,8861,8914
"북구",6073,6372,6549,6994,7525,7942,8319,8727,9193,9572,9966,10315,10640,11157
"울주군",9052,9158,9767,9736,10102,10395,10793,11611,12212,12840,13643,14689,15428,16001
"경기도",566798,577633,596133,618765,640490,651428,660008,687022,720851,751108,773216,810260,827983,856163
"수원시",56810,56408,55743,55854,56704,56267,56463,57844,61426,63865,65259,67143,68332,70004
"성남시",44248,44672,45928,48756,49345,49941,49441,50923,54000,56436,57942,60841,62468,63969
"의정부시",20850,20960,20384,20878,21881,22684,23070,23286,23685,24173,24396,24893,24923,25940
"안양시",37734,37468,37501,38438,40546,40271,40338,40740,41647,43923,44796,44505,43617,44767
"부천시",52273,51933,51579,52297,52741,52340,52172,54767,56185,57512,57899,59150,59219,59833
"광명시",14707,14896,14648,14282,14646,15091,15665,16435,16924,17878,18058,18422,18300,18679
"평택시",22653,23065,26649,29680,29660,27636,28064,27703,28845,29650,30410,31985,32926,34000
"동두천시",5467,5230,5226,5361,5618,5811,5800,5886,6028,6053,6006,6130,6192,6204
"안산시",38825,38494,38888,39928,41839,43532,43833,45278,47235,48530,49762,51948,52090,53134
"고양시",39024,40269,41357,43245,44582,46391,47523,49606,51693,53925,55419,59300,60869,63642
"과천시",2896,2814,2738,2947,3129,3319,3311,3409,3497,3540,3690,3694,3662,3740
"구리시",10513,10430,10233,10693,11159,11427,11330,11605,11918,12495,12677,13253,13251,13758
"남양주시",18136,18901,19867,20787,21171,23034,24290,25587,27153,28956,30338,32696,34130,36225
"오산시",7029,7194,7605,7854,8252,8287,8548,9183,9725,10203,10726,11098,11283,11665
"시흥시",26067,27169,28289,29202,30084,29739,30250,31799,33631,36065,35844,37478,38200,38842
"군포시",13216,13606,13713,13920,14295,14167,14223,14566,14933,15514,15762,15985,16208,17132
"의왕시",5865,5856,5929,6021,6015,6040,6309,6705,6975,7361,7472,7981,8143,8498
"하남시",6987,7159,7898,8559,8890,9201,9412,10164,10287,10839,10975,11752,12080,13154
"용인시",23630,25684,28231,30494,32252,33349,33822,35802,37903,39925,42265,45394,46605,48111
"파주시",13736,14027,14418,15453,16922,17971,18020,19367,21210,22395,23305,24839,25971,27220
"이천시",10643,10929,11561,11712,12054,12246,12173,12727,13192,13560,14416,14866,15330,15666
"안성시",8413,8608,9183,9629,10036,10459,10854,11549,12666,13036,13480,13895,13722,13955
"김포시",14096,14946,15078,15190,15660,16322,17342,18584,19495,20380,21936,24195,25752,27252
"화성시",17804,19617,22427,24324,27611,29655,30218,34963,38268,41261,44098,48320,51953,54745
"광주시",11345,11966,14585,15891,16822,17259,18107,18446,19301,20578,21595,23142,24362,25603
"양주시",11461,11948,12165,12843,13157,13048,13157,13358,14637,14286,14724,15574,15816,16235
"포천시",12859,13371,13879,13690,13934,14129,14227,14402,15419,15621,16050,16758,17397,17866
"여주시",-,-,-,-,-,-,-,-,-,-,7670,8010,8200,8348
"경기 여주군",6339,6461,6572,6678,6952,7145,7269,7309,7485,7367,-,-,-,-
"연천군",3362,3351,3346,3346,3341,3355,3342,3290,3377,3472,3591,3626,3577,3592
"가평군",4520,4605,4770,4842,5084,5186,5298,5495,5670,5782,5907,6275,6193,6316
"양평군",5290,5596,5743,5971,6108,6126,6137,6244,6441,6527,6748,7112,7212,8068
"강원도",115302,116338,116163,116338,116705,117150,117569,118266,121273,125192,129403,133314,133517,136452
"춘천시",18479,18622,18247,18366,18527,18673,18918,19192,19629,20014,20632,21169,21256,21690
"원주시",20488,21735,21864,22295,22327,22694,22628,22759,23954,25067,26239,27069,27338,28167
"강릉시",17388,17449,17400,17187,17318,17465,17790,17977,18461,19076,19764,19797,19419,20015
"동해시",7896,8011,7839,7775,7761,7739,7707,7713,7807,7978,8132,8135,7761,7890
"태백시",4234,4093,4006,4016,4054,4023,4032,4062,4045,4129,4265,4296,4302,4402
"속초시",7579,7346,7493,7287,7277,7395,7318,7253,7309,7578,7706,8020,8077,8365
"삼척시",5464,5349,5270,5238,5245,5197,5264,5376,5475,5715,5979,6221,6283,6513
"홍천군",4965,5064,5094,5089,5064,5033,4995,4900,5149,5364,5623,5902,6049,6139
"횡성군",3059,3076,3056,3022,3109,3080,3109,3149,3246,3287,3344,3730,3818,3808
"영월군",3212,3202,3194,3208,3268,3279,3307,3266,3372,3473,3590,3716,3662,3691
"평창군",3750,3791,3960,4000,3948,3915,3887,4027,4065,4177,4347,4528,4492,4341
"정선군",3443,3343,3410,3329,3402,3407,3415,3326,3394,3502,3603,3838,3874,3902
"철원군",3374,3383,3394,3336,3256,3226,3215,3295,3348,3531,3533,3613,3631,3682
"화천군",1803,1772,1754,1745,1723,1701,1709,1680,1730,1800,1862,1983,2061,2106
"양구군",1654,1606,1638,1651,1667,1635,1612,1624,1604,1660,1708,1800,1849,1858
"인제군",2736,2784,2796,2907,2858,2838,2807,2775,2824,2873,2939,3230,3309,3353
"고성군",2719,2693,2647,2573,2542,2489,2492,2505,2489,2481,2590,2664,2701,2804
"양양군",3059,3019,3101,3314,3359,3361,3364,3387,3372,3487,3547,3603,3635,3726
"충청북도",97506,96771,97142,99331,101386,101861,102969,105756,109256,112650,115611,119499,121493,124835
"충북 청주시",39835,39601,39676,40617,41511,41841,42025,42960,44003,45599,46150,-,-,-
"충주시",14100,14044,14239,14468,14770,14834,14923,15640,16122,16112,16413,16790,17087,17667
"제천시",10561,10333,10318,10220,10308,10186,10358,10767,11092,11458,11790,12194,12380,12733
"청주시",-,-,-,-,-,-,-,-,-,-,-,57645,58341,59939
"충북 청원군",5902,6096,6324,7047,7524,8028,8521,8829,9455,9547,10093,-,-,-
"보은군",2754,2648,2577,2537,2521,2514,2512,2455,2475,2542,2635,2756,2876,2948
"옥천군",3588,3513,3468,3531,3563,3515,3534,3693,3742,3787,3870,4015,4017,4036
"영동군",3475,3366,3169,3147,3103,3094,3111,3088,3201,3292,3413,3525,3547,3589
"진천군",4098,4175,4172,4473,4578,4492,4505,4491,4792,5159,5312,5830,6096,6301
"괴산군",2217,2172,2249,2226,2320,2330,2406,2468,2555,2638,2776,2830,2808,2792
"음성군",6062,5987,6131,6248,6351,6180,6159,6358,6704,7164,7652,8275,8701,9023
"단양군",2719,2673,2678,2678,2646,2603,2650,2713,2732,2876,2964,3045,2969,2993
"증평군",2195,2163,2141,2139,2191,2244,2265,2294,2383,2476,2543,2594,2671,2814
"충청남도",122459,123445,125538,127547,130104,131549,131555,134317,140507,141212,145998,154038,158308,161612
"천안시",31124,32527,33616,34919,35458,35825,35311,36095,38263,40270,41711,44381,46226,47362
"공주시",8154,8158,8200,8099,8078,8111,8054,8012,8246,8213,8437,8844,8866,8852
"보령시",7401,7444,7680,7620,7545,7739,7675,7601,7773,8056,8298,8336,8425,8656
"아산시",10888,10946,11327,11859,12552,12958,13289,14406,15453,16475,17191,19117,19858,20936
"서산시",9148,9038,9151,9269,9507,9695,9756,9926,10417,11062,11317,11802,11866,12128
"논산시",9266,9204,9077,9095,9398,9300,9258,9243,9487,9719,9873,10422,10617,10402
"계룡시",1221,1246,1388,1485,1527,1592,1702,1780,1913,2001,1932,2009,2083,2132
"당진시",-,-,-,-,-,-,-,-,-,9989,10774,11240,12125,12279
"금산군",4463,4459,4548,4556,4662,4682,4716,4757,5060,5036,5204,5376,5537,5604
"충남 연기군",5290,5254,5212,5081,4933,4953,4931,4943,5268,4819,-,-,-,-
"부여군",5288,5058,4837,4725,4685,4694,4699,4712,4742,4819,4936,4977,4884,4919
