"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"서구",313808,315987,311511,309362,307072,304885,299825,303219,317936,316545,315276,310317,305028,309579
"남구",216102,213321,214524,211744,209024,213073,213697,216863,219041,218313,216254,219815,221318,219729
"북구",462384,458030,454241,460985,466181,474121,469410,466866,444483,443677,445489,447685,446316,441066
"광산구",286982,296101,306989,311621,316101,320660,342936,363239,375509,385101,392875,397281,400753,403049
"대전광역시",1432296,1443471,1454638,1466158,1475659,1480895,1484180,1503664,1515603,1524583,1532811,1531809,1518775,1514370
"동구",240212,238532,234724,236504,244496,245973,246116,248835,251285,251945,250653,245493,239579,234959
"중구",268351,265962,266635,263592,265430,264678,264035,265846,265502,264125,264913,261165,256186,252490
"서구",500551,508552,509225,505600,501935,499172,499297,499742,499124,496513,498917,496132,490859,491011
"유성구",193974,203478,220767,243130,250523,259831,266585,281692,294353,306312,313968,327461,335312,343222
"대덕구",229208,226947,223287,217332,213275,211241,208147,207549,205339,205688,204360,201558,196839,192688
"울산광역시",1072867,1081453,1087648,1092494,1099995,1112407,1114866,1126298,1135494,1147256,1156480,1166377,1173534,1172304
"중구",233629,235232,235417,234896,236573,233898,230212,232915,232634,233013,234607,238825,244481,242536
"남구",347485,347323,347162,345769,342675,343922,343740,344131,343504,346836,349064,347759,343598,340714
"동구",186135,185383,184599,185954,181844,176431,173841,170764,172172,175479,178468,176668,174963,174514
"북구",131775,139165,146117,148772,155642,166469,171674,177488,182504,184088,185695,188733,191063,195285
"울주군",173843,174350,174353,177103,183261,191687,195399,201000,204680,207840,208646,214392,219429,219255
"경기도",10206851,10462920,10697215,10906033,11106211,11292264,11460610,11786622,11937415,12093299,12234630,12357830,12522606,12716780
"수원시",1032944,1033829,1045587,1068906,1067702,1067425,1073149,1077535,1088489,1120258,1148157,1174228,1184624,1194041
"성남시",962048,977166,983075,964831,953960,942447,962726,980190,979323,978615,979534,974608,971424,974580
"의정부시",394803,397612,402410,410938,421853,430849,431008,431801,430400,429147,430976,431112,433937,438457
"안양시",604505,621047,625350,624280,624197,620279,616547,621714,615642,611412,607877,600809,597789,597414
"부천시",844256,855697,855359,860020,864037,867678,869944,875204,872452,869944,863720,855586,848987,851380
"광명시",336083,331419,327828,313372,313019,310501,314257,343982,355226,355560,353100,348560,344978,339484
"평택시",364979,370653,383976,396765,402458,406721,410042,419457,426886,434305,442034,449555,460532,470832
"동두천시",74735,79214,82623,85803,88780,90835,93211,95653,96253,97175,97557,97595,97974,98277
"안산시",651625,666784,679011,698819,705040,708257,705346,714891,715586,715108,713666,707876,697885,689859
"고양시",865077,886000,904077,910206,924839,938831,938784,950115,961239,969916,990571,1006154,1027546,1039684
"과천시",70324,68333,60956,60482,62291,69477,72049,72279,71955,71068,70578,70156,68946,63778
"구리시",192947,193438,192548,193847,196800,195874,195593,196398,194881,192341,189680,186820,186721,193763
"남양주시",403755,418360,450054,470617,492347,505867,525211,564141,578485,599539,618305,636256,653454,662154
"오산시",118167,121326,129843,136311,145825,150237,159734,182516,193892,200291,205460,208565,206828,208656
"시흥시",368223,378613,387239,390477,390564,392756,397912,403797,401149,399485,396765,394639,398256,402888
"군포시",273765,275761,277781,274569,275351,277590,275731,287833,287294,286841,286344,288408,287519,284890
"의왕시",143388,145535,145952,138253,135009,134488,140874,147443,149607,154757,159772,158482,157740,156763
"하남시",128326,129903,132850,134824,137131,143638,148566,150479,148397,146269,145096,148896,166713,211101
"용인시",575255,640452,693660,766569,800294,816763,839204,876550,896044,915959,941477,961026,975746,991126
"파주시",237658,246323,261770,292752,303831,311164,323011,355632,378790,394201,401718,411348,423321,430781
"이천시",190753,190808,192271,194369,195691,196633,197496,202595,204566,204917,205479,205014,204935,210359
"안성시",151522,154110,157130,159655,163733,169545,170919,177937,180743,181608,182173,181896,180199,182896
"김포시",203391,208192,207229,207824,205997,220418,225805,238339,256994,287432,312305,340310,349990,363443
"화성시",236226,271563,296530,310171,371972,449354,491528,505838,516765,525490,530251,540862,596525,640890
"광주시",191466,205641,214498,222048,229319,234777,238583,249789,265222,275656,286699,298858,312579,327723
"양주시",148062,152596,160589,169806,179914,179914,182106,196706,200360,200310,199143,202072,205184,205513
"포천시",150240,150364,155242,157269,158156,160176,158931,158658,157967,157559,156603,155798,155192,154763
"여주시",-,-,-,-,-,-,-,-,-,-,109343,110386,111033,111563
"경기 여주군",104030,103976,104260,105022,106926,107355,108088,109250,109120,109550,-,-,-,-
"연천군",49508,48687,47123,46075,45603,45495,45241,45177,44900,45599,45610,45363,45725,45907
"가평군",55060,54845,54861,54855,55698,57108,57564,58890,59358,60794,61017,61213,62008,62448
"양평군",83730,84673,85533,86298,87874,89812,91450,95833,99430,102193,103620,105379,108316,111367
"강원도",1527034,1521375,1513110,1505420,1503806,1508575,1512870,1529818,1536448,1538630,1542263,1544442,1549507,1550806
