행정구역별,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
안양시,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,100
부천시,99.9,100,100,100,100,100,100,100,100,100,100,100
광명시,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,100,100,100
평택시,82.6,83,84,86.7,90.8,91,92.3,93.4,96.6,96.7,97.5,97.8
동두천시,91.5,91.9,96.5,96.6,96.7,96.8,96.9,99,99,99,99.1,99.3
안산시,99.2,99.2,99.3,99.6,99.6,99.6,99.6,99.6,99.7,99.8,99.8,99.8
고양시,96,96.5,96.5,96.6,98,98.6,98.8,99.1,99.2,99.3,99.5,99.6
과천시,98.4,98,97.4,99,99.8,99.4,99.2,99.2,99,99.5,99.7,99.7
구리시,99.7,99.7,99.9,99.9,99.9,100,99.9,99.9,100,100,99.9,99.9
남양주시,84.2,84.9,85.4,96,96,96,96.1,96.4,96.7,99.9,100,100
오산시,98.7,98.8,97.4,99,99.2,99.6,99.6,99.7,99.7,99.7,99.6,100
시흥시,99.1,99,99.5,99.3,99.3,99.5,99.6,99.7,99.8,99.8,99.8,99.9
군포시,99.7,99.9,99.9,99.9,100,100,100,99.9,100,100,100,100
의왕시,97.3,98.3,98.2,98.2,98.3,98.3,99.5,99.6,99.7,99.8,99.9,99.9
하남시,91.9,91,92.1,92.3,92.6,93.5,96.4,96.7,96.6,96.7,96.7,98
용인시,88.2,92.5,93.4,93.9,93.9,95.2,95.3,98,98.4,99.6,98.4,98.5
파주시,77.3,78.1,81.1,82.7,85.2,91.3,92,94.4,95.2,96,96.6,98.4
이천시,60.4,57.9,58.3,55.8,82.8,83.6,85.5,89.3,90.8,92,93,94
안성시,67.1,68.8,75,80.4,82.8,87.8,88.6,88.8,89.9,89.8,90.1,91.2
김포시,69.1,69.2,69.1,71.2,74.1,76.5,78.9,84.3,88.3,91.1,91.6,92.7
화성시,62.8,66.5,71.4,82.7,86.5,91.3,95.2,96.9,97.3,97.1,98.1,98.4
광주시,84.8,85.1,85.1,86.8,87.2,87.4,82.4,83.7,84.9,86.3,87.5,88.9
양주시,78.3,81.4,82.2,84.1,86.3,96,93.8,93.3,94.1,96.5,97,97.4
포천시,53.3,54.8,57.4,57.6,58.3,59.4,61,65.7,71.2,72.8,73.7,75.9
여주시,-,-,-,-,-,-,-,-,-,81.5,83.6,85.6
경기 여주군,46.5,48.8,59.4,60.9,62.9,67,68.5,71.8,75.2,-,-,-
연천군,90.2,90.6,90.8,90.7,90.7,91.1,91.2,91.9,92,93,93,94.3
가평군,61.1,63.2,63.4,63.5,65.6,66.3,68.4,70.4,72,73.4,75.5,77
양평군,36.1,37.1,37.6,37.8,39.3,42.6,49.7,52,55,64,64.1,65.6
강원도,83.2,83.7,84.3,84.6,85.5,86.1,86.5,87.5,87.9,88.6,88.8,89.6
춘천시,89.7,90.3,91,91.2,91.5,93.2,93.4,93.6,93.2,94.1,93.8,95.9
원주시,84.6,85.4,85.8,86.6,86.6,86.6,87.2,87.5,88.1,89.2,89.5,89.3
강릉시,91.3,89,90,89.8,90.3,90.7,91.1,92.1,93.4,93.8,93.8,94.3
동해시,96.6,97.6,97.7,97.7,97.8,97.8,98.3,98.8,98.8,98.8,98.9,99
태백시,97.8,98,97.7,98,98,98,98,98,98,98,98,98
속초시,99,99.1,99.1,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.7,99.8
삼척시,83.3,83.8,83.7,83.9,85.9,86.3,86.8,87.3,87.8,87.9,85.5,88.2
홍천군,64.3,64.6,64.9,65.4,65.5,66.2,66.5,66.6,66.9,68.1,68.6,70.2
횡성군,43.4,45.2,49.5,50.7,55.7,56.7,57.8,65.7,70.3,70.9,71.4,73.6
영월군,70.2,71.6,72.2,71.7,74.8,74,74.1,78.7,74.2,74.4,80.2,80.6
평창군,60.1,60.7,65.3,67.7,69.7,72,74,76.1,79.5,80.5,80.1,79.5
정선군,77.9,72.5,80.5,78,77.2,78.2,78.5,78,78.3,78.4,78.6,79.3
철원군,78.8,79,79,78.6,79,82.4,82,84.5,86.7,88.9,90.3,90
화천군,48.3,49.5,51.1,54.1,56.8,57.5,57.5,60.7,64.3,65.1,65.3,66.2
양구군,68.9,69.9,71.8,72.4,73,74.2,76,76,76.3,77.3,78.7,79.8
인제군,85.3,84.4,66.5,63.6,79.5,69.8,70.9,73.1,77.2,77.1,79.2,80
고성군,81.7,81.6,81.7,84.6,81.3,86.1,87.9,88.8,81.6,81.6,83.2,83.6
양양군,69.9,72.1,74.8,74.8,76.6,79,79.1,81.4,83.7,85.6,86.5,87
충청북도,78.3,80,81.1,82.7,83.7,85.1,86,86.8,87.6,88.9,90.2,90.2
충북 청주시,96,96.4,96.5,98.9,99.2,99.4,99.5,99.5,99.5,99.5,-,-
충주시,79,80.6,80.8,81.3,81.5,82.5,84,84.4,85.8,89,90.9,89.3
제천시,83.7,84.4,85.4,85.9,86.1,89.3,90,90.1,90.3,90.5,90.6,90.8
청주시,-,-,-,-,-,-,-,-,-,-,96.4,96.7
충북 청원군,43.4,50.1,59.6,61.9,62.9,66.4,70.3,71.9,72.2,72.5,-,-
보은군,39.2,40.4,42.5,43.7,44.1,44.2,44.3,44.4,45.1,46.6,46.7,47.7
옥천군,72.8,73.2,76,76.6,81.2,80.3,81.9,79.7,82.7,83.7,83.8,84
영동군,66.8,67.5,69.9,70.4,72.3,73.8,74.7,75.8,76,76.2,75.7,77
진천군,55.6,61.5,62.6,65.5,69.4,73.8,73.1,74.3,78.9,79.5,80.5,81.8
괴산군,34.6,36,36.8,37.6,40.6,46.1,48.3,51.3,52.2,56.7,57.3,58.3
음성군,59.5,62,62.3,64,67.8,69.9,68.7,75.6,78.3,85,85,83.5
단양군,64.4,64.4,63.4,62.4,62.1,63.3,66.3,69.7,70.6,71.5,70,72.3
증평군,78,79.9,83.8,85,85.7,88.1,91.7,93.1,93.5,98.5,98.5,99
충청남도,61.5,63.3,64.4,67.4,69.4,71.4,74.1,76,79,81.2,82.7,84.4
천안시,82.9,83.6,83.6,85.1,85.3,85.7,86.1,87.1,87.9,88.6,89.5,91.4
공주시,60.6,62.4,63.1,64.4,65.1,66,69.7,72.2,75.5,73,72.4,77.5
보령시,61.2,62.4,64.1,64.4,65.6,70.1,70.4,72,74.3,75.8,77.6,78.5
아산시,63.9,67,72.4,79.3,81,83.3,87.2,87.7,91.2,92,93.6,94.7
서산시,55.6,56.7,59.7,64.6,68.9,75.5,81.3,82.2,85.4,87.1,89.1,89.7
논산시,54,54.8,56,56.8,58.3,59.1,62.6,63,64,76.7,77.1,77.9
계룡시,95.4,90.9,92.8,92.9,94.1,95.9,96.4,96.1,96,96,96,96.4
당진시,-,-,-,-,-,-,-,-,-,75,76.4,77
금산군,56.2,56.5,56.6,58,58.3,58.9,60.6,61.7,66.5,70.7,73.3,76
충남 연기군,55.3,57.2,50.3,57.5,64.3,65.5,69.2,69.3,-,-,-,-
부여군,50.1,51.7,45.9,55.1,56.5,57.4,67.8,70.8,70.6,67,68.7,69.9
서천군,44.6,49.2,52.5,55.1,56.4,60.6,63.1,66.1,68.2,73.4,73.8,75
청양군,32.4,26.4,27.9,28.1,28.4,28.8,29.5,32.2,32.6,33,43.6,44.1
홍성군,47.9,50.4,52.5,55.4,58.9,59,61.7,66.1,74.8,81.8,83.8,85.9
예산군,45.6,47,47.7,48.3,49.2,50.3,51.2,51.9,54.6,57.6,59.7,62.5
