"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"동구",1.95,1.43,-0.04,-1.75,-0.48,-1.50,0.11,1.84,1.13,0.27,0.50,1.24,0.53,0.47
"서구",-2.98,-2.55,-2.84,-2.88,-2.33,-3.80,-1.63,-0.27,-0.81,-1.06,-2.08,-2.03,-2.17,-3.13
"남구",-2.21,-2.23,-0.72,0.33,-1.01,-1.77,-1.96,-0.37,-1.20,-0.22,-1.53,-1.52,-1.54,-2.71
"북구",2.60,2.98,1.05,0.88,-0.89,-0.25,-1.74,-0.16,-0.55,-0.29,-0.88,0.07,-0.28,-0.59
"수성구",0.30,-0.99,-1.44,0.67,1.62,1.02,0.97,1.25,-0.19,-0.29,0.28,-0.97,-1.03,-1.04
"달서구",-0.23,-0.40,-0.96,-0.97,0.50,0.61,0.54,1.59,-0.02,-0.02,0.70,-0.56,-0.60,-1.79
"달성군",1.44,-1.16,1.36,0.21,1.34,6.45,2.95,1.76,1.11,2.19,0.22,0.67,4.40,13.11
"인천광역시",0.20,0.36,0.82,1.20,1.73,1.15,0.63,1.81,1.54,1.40,1.34,0.95,0.86,0.63
"중구",9.10,5.48,2.96,0.04,-1.81,-1.02,1.20,3.57,0.79,4.80,9.07,4.10,2.23,0.55
"동구",8.44,0.50,-3.80,-2.92,-1.80,1.17,3.22,2.92,-1.23,-2.53,-2.09,-1.49,-1.97,-2.20
"남구",0.32,-0.47,-2.32,-0.67,-0.73,2.18,-0.22,0.96,-1.33,-0.86,-0.74,-0.63,-0.78,3.07
"연수구",-0.53,-0.59,3.87,2.35,-0.66,0.10,1.04,3.02,3.13,1.62,2.82,3.80,2.95,3.22
"남동구",-1.66,-2.07,-1.47,3.18,8.96,5.71,2.83,2.26,4.55,1.33,0.84,1.63,3.16,-0.16
"부평구",-0.47,0.59,1.85,0.72,0.00,0.25,-0.93,0.62,-1.06,-0.41,-0.26,0.18,-0.06,-0.94
"계양구",-0.06,-0.87,-0.46,2.22,0.25,-0.01,0.46,1.07,-1.03,-0.66,0.47,-1.19,-1.52,-1.22
"서구",0.43,4.30,4.84,1.38,4.03,-1.40,0.47,3.27,6.56,7.48,4.34,1.91,1.24,1.17
